timestamp,visual pose reference
36500,"[[     179.95      227.11]
 [     185.72      221.34]
 [     173.25      223.59]
 [          0           0]
 [          0           0]
 [     209.44      236.33]
 [     158.31      244.45]
 [     233.02      256.27]
 [     141.66      264.76]
 [     225.79      272.57]
 [     147.67      260.01]
 [     217.65      270.82]
 [        183      275.58]
 [      231.8      246.67]
 [     185.98      252.17]
 [     238.26      268.43]
 [     188.07      271.54]]"
37000,"[[      180.5      227.15]
 [      186.4      221.44]
 [     173.64      223.64]
 [          0           0]
 [          0           0]
 [     209.89      236.94]
 [     158.54      244.85]
 [     233.22      256.05]
 [     142.17      264.23]
 [     225.82      272.61]
 [     147.57      260.45]
 [     217.38      270.98]
 [     182.41       275.6]
 [     232.29      247.02]
 [     184.87      252.36]
 [     238.52      268.55]
 [     186.16      271.66]]"
37500,"[[     180.79      227.07]
 [     186.84      221.44]
 [     173.73      223.53]
 [          0           0]
 [          0           0]
 [     210.77       238.1]
 [     158.49      245.67]
 [     234.16      257.34]
 [     141.84      264.71]
 [     225.24      273.06]
 [     147.84      260.18]
 [     217.94      271.25]
 [     182.26      275.61]
 [     232.71      247.38]
 [     183.86       252.3]
 [     237.44      269.17]
 [     183.19      271.78]]"
38000,"[[      180.8      227.07]
 [     186.86      221.44]
 [     173.73      223.53]
 [          0           0]
 [          0           0]
 [     210.81      238.14]
 [     158.49      245.71]
 [     234.21      257.37]
 [     141.84      264.74]
 [     225.26      273.07]
 [     147.85      260.17]
 [     217.95       271.3]
 [     182.25      275.67]
 [     232.75       247.4]
 [     183.82      252.31]
 [     237.45      269.17]
 [     183.08      271.78]]"
38500,"[[     180.76      227.07]
 [     186.81      221.44]
 [      173.7      223.54]
 [          0           0]
 [          0           0]
 [      210.8      238.08]
 [     158.48      245.65]
 [     234.18      257.34]
 [     141.85      264.73]
 [     225.24      273.05]
 [     147.85      260.17]
 [     217.93      271.33]
 [     182.21       275.7]
 [     232.75      247.43]
 [     183.76      252.35]
 [     237.43      269.11]
 [     182.95      271.74]]"
39000,"[[     180.78      227.06]
 [     186.83      221.43]
 [     173.71      223.53]
 [          0           0]
 [          0           0]
 [     210.79       238.1]
 [     158.47      245.69]
 [     234.14      257.37]
 [     141.84      264.76]
 [     225.18      273.05]
 [     147.85      260.18]
 [     217.96      271.24]
 [     182.27      275.61]
 [     232.63      247.42]
 [     183.85      252.35]
 [      237.3      269.16]
 [     183.21       271.8]]"
39500,"[[     180.67      227.05]
 [     186.47      221.31]
 [     173.92      223.48]
 [          0           0]
 [          0           0]
 [     210.22      236.51]
 [     158.62      244.11]
 [      233.4      256.25]
 [     142.34       263.8]
 [     225.53      272.55]
 [     147.35      260.84]
 [     218.01      270.62]
 [     183.03      275.09]
 [     231.98      246.51]
 [     185.32      251.58]
 [     238.01      268.93]
 [     187.79       271.9]]"
40000,"[[      180.6      227.04]
 [      186.4      221.31]
 [     173.86      223.47]
 [          0           0]
 [          0           0]
 [     210.07       236.6]
 [     158.62      244.13]
 [     233.12      256.33]
 [     142.33      263.83]
 [     225.36      272.43]
 [      147.4      260.77]
 [     217.76      270.92]
 [     182.84      275.33]
 [      231.3      246.72]
 [     184.68      251.72]
 [     237.13      268.94]
 [     186.69      271.88]]"
40500,"[[     180.64      227.03]
 [     186.45      221.32]
 [     173.87      223.47]
 [          0           0]
 [          0           0]
 [     210.14      236.72]
 [     158.58      244.27]
 [     233.41      256.35]
 [     142.37      263.86]
 [     225.41      272.48]
 [     147.38      260.79]
 [     217.85      270.76]
 [      182.9      275.19]
 [     231.62      246.72]
 [     185.07      251.71]
 [     237.52      269.06]
 [     187.37       271.9]]"
41000,"[[     183.66      226.06]
 [     188.12      219.43]
 [     174.94      222.99]
 [          0           0]
 [          0           0]
 [     212.22      238.45]
 [     158.25      245.95]
 [     234.38      257.89]
 [      141.1      262.08]
 [     233.35      269.52]
 [      149.8      258.19]
 [     220.95      273.13]
 [     184.03      278.11]
 [     239.63         249]
 [        185      255.59]
 [     245.95      259.54]
 [     188.62      270.29]]"
41500,"[[          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [     204.04      230.36]
 [     159.98      234.51]
 [     224.39      251.63]
 [     145.81         252]
 [     229.36      266.87]
 [     147.06      261.85]
 [     209.85      262.42]
 [     180.89      266.06]
 [     225.43      245.37]
 [     190.61       250.4]
 [     234.13      261.92]
 [     205.43      271.68]]"
42000,"[[          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [     203.97      230.56]
 [     160.09      234.54]
 [     224.25      251.92]
 [     145.95      251.89]
 [     229.43      266.94]
 [      147.2      261.72]
 [     209.74      263.02]
 [     180.93      266.59]
 [     225.37      244.99]
 [      191.1      249.93]
 [     233.41      261.62]
 [     205.09      271.46]]"
42500,"[[          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [     204.11      230.68]
 [     159.99      234.63]
 [      224.3      252.16]
 [     145.97      252.01]
 [     229.49      266.92]
 [     147.22      261.72]
 [     210.11      262.85]
 [     181.13      266.43]
 [     225.82      245.25]
 [     191.19       250.2]
 [     233.79      261.63]
 [     205.09      271.56]]"
43000,"[[          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [     204.12      230.77]
 [     159.76      234.77]
 [     224.08      252.25]
 [     145.87      252.17]
 [     229.33      267.03]
 [     147.35       261.6]
 [     210.01      263.25]
 [     180.91      266.86]
 [     225.45      245.07]
 [     191.06      250.13]
 [      233.1       261.5]
 [     205.22      271.56]]"
43500,[]
44000,"[[     181.67      222.75]
 [     191.66       219.9]
 [     168.65      220.59]
 [     208.71      241.82]
 [     153.54      245.64]
 [     216.81      271.98]
 [     155.15      266.43]
 [     228.46      274.27]
 [     144.62       252.3]
 [     245.39      275.02]
 [     154.97      238.43]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
44500,"[[     181.67      222.75]
 [     191.67      219.91]
 [     168.65      220.59]
 [     208.73      241.86]
 [     153.52      245.66]
 [     216.82      272.04]
 [     155.13      266.49]
 [     228.47      274.29]
 [     144.74      252.37]
 [     245.39      275.01]
 [     155.33      238.48]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
45000,"[[     181.67      222.75]
 [     191.67      219.91]
 [     168.65      220.59]
 [     208.73      241.86]
 [     153.52      245.66]
 [     216.82      272.04]
 [     155.13      266.49]
 [     228.47      274.29]
 [     144.74      252.37]
 [     245.39      275.01]
 [     155.34      238.48]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
45500,[]
46000,"[[     393.59      144.17]
 [     396.38      141.03]
 [     390.62      141.65]
 [     401.13      142.73]
 [          0           0]
 [     404.83      154.17]
 [     390.37      157.61]
 [     413.39      155.99]
 [     387.04      164.47]
 [     413.88      154.45]
 [     379.06      168.58]
 [     405.33      178.68]
 [     395.95      179.58]
 [      392.8      174.16]
 [     387.38      174.88]
 [     393.25       191.3]
 [     392.23      193.01]]"
46500,"[[     393.59      144.17]
 [     396.38      141.03]
 [     390.62      141.65]
 [     401.13      142.73]
 [          0           0]
 [     404.83      154.17]
 [     390.37       157.6]
 [     413.39         156]
 [     387.04      164.47]
 [     413.89      154.51]
 [     379.05      168.61]
 [     405.33      178.67]
 [     395.96      179.58]
 [      392.8      174.16]
 [     387.38      174.88]
 [     393.25       191.3]
 [     392.24      193.01]]"
47000,"[[     393.59      144.17]
 [     396.38      141.03]
 [     390.63      141.65]
 [     401.13      142.73]
 [          0           0]
 [     404.82      154.15]
 [     390.37      157.59]
 [     413.38      155.95]
 [     387.05      164.45]
 [     413.88      154.38]
 [     379.07      168.54]
 [     405.33      178.65]
 [     395.96      179.56]
 [     392.81      174.16]
 [     387.39      174.89]
 [     393.27       191.3]
 [     392.24      193.02]]"
47500,"[[     393.59      144.17]
 [     396.38      141.03]
 [     390.63      141.65]
 [     401.13      142.73]
 [          0           0]
 [     404.82      154.15]
 [     390.37      157.59]
 [     413.38      155.95]
 [     387.05      164.45]
 [     413.88      154.38]
 [     379.07      168.54]
 [     405.33      178.65]
 [     395.96      179.56]
 [     392.81      174.16]
 [     387.39      174.89]
 [     393.27       191.3]
 [     392.24      193.02]]"
