timestamp,visual pose reference
9000,"[[     183.89      224.06]
 [      191.4      221.21]
 [      172.4      220.83]
 [     202.86      237.33]
 [     157.33      239.32]
 [     208.51      267.65]
 [     157.19      261.08]
 [     221.57      270.45]
 [     145.93      247.94]
 [     247.03       274.7]
 [      147.5      236.59]
 [          0           0]
 [     163.97      304.93]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
9500,"[[      181.6      223.79]
 [     188.75      219.64]
 [     172.24      221.32]
 [          0           0]
 [          0           0]
 [     205.28      262.48]
 [     160.28      258.98]
 [     224.37      265.56]
 [     140.98      246.62]
 [     244.65      268.51]
 [     152.96      237.16]
 [          0           0]
 [     179.65      277.25]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
10000,[]
10500,"[[     181.82      224.94]
 [     189.41      220.38]
 [     172.16      221.97]
 [          0           0]
 [          0           0]
 [     208.39      263.01]
 [     153.41      259.28]
 [     224.66      270.35]
 [     131.99      252.98]
 [     245.08      271.29]
 [     141.43      240.51]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
11000,"[[     182.56      223.95]
 [     189.49      220.75]
 [     173.08      221.41]
 [     200.04      234.09]
 [          0           0]
 [     202.48      260.95]
 [     157.24      256.75]
 [     218.97      267.55]
 [     138.09       248.8]
 [     244.74      268.28]
 [     132.39      239.22]
 [     200.96      278.48]
 [     173.45      278.53]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
11500,"[[     181.79      226.71]
 [     190.05      223.31]
 [     173.39      222.43]
 [     200.36      235.53]
 [          0           0]
 [     202.41      260.76]
 [     158.36      251.86]
 [     227.73      270.35]
 [     141.71      245.64]
 [     252.71      277.34]
 [     124.04      243.64]
 [     200.61       290.9]
 [     170.82      288.75]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
12000,"[[     182.02      226.51]
 [     190.76      223.86]
 [     172.95      222.15]
 [     201.07      238.37]
 [          0           0]
 [     202.32      263.19]
 [     157.83      254.43]
 [      226.8      270.06]
 [     142.11      247.46]
 [     251.08       278.3]
 [     125.31      244.38]
 [     198.85      293.91]
 [     169.06      291.53]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
12500,"[[     182.86      223.17]
 [     190.99      220.13]
 [     172.16      221.08]
 [     204.15      236.77]
 [          0           0]
 [     208.42      264.85]
 [     157.61      260.12]
 [     224.38      270.42]
 [     140.37      248.32]
 [     247.01      274.97]
 [      134.4       238.1]
 [          0           0]
 [     169.26      284.37]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
13000,"[[     182.65      223.54]
 [     190.64      220.44]
 [     171.83      221.44]
 [     203.98      237.02]
 [     158.46      241.18]
 [     209.79      265.05]
 [     157.95      259.84]
 [     224.51      271.37]
 [     140.38       248.5]
 [     247.05      275.34]
 [     135.98      237.84]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
13500,"[[          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [     389.61      95.668]
 [     374.97      97.506]
 [     404.45      110.59]
 [     377.32      114.86]
 [     407.31      134.68]
 [     376.96       137.7]
 [      397.4      125.69]
 [     388.31       126.6]
 [     397.78      148.89]
 [     388.25       149.5]
 [     399.72      171.97]
 [     390.84      172.17]]"
14000,"[[     182.67      223.14]
 [     192.08       220.4]
 [     170.21      220.96]
 [     208.07      240.76]
 [     155.08      244.27]
 [     215.52      270.46]
 [     154.65      264.43]
 [     230.12      273.64]
 [     151.73      253.46]
 [     249.95      276.02]
 [      176.5       243.2]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
14500,[]
15000,"[[     184.88      222.66]
 [     192.57      220.33]
 [     171.94       221.1]
 [     206.17      239.96]
 [     155.69      244.68]
 [     211.35      267.31]
 [     159.43      263.69]
 [     225.22      271.61]
 [     177.48      260.41]
 [     245.69      274.08]
 [     231.53      261.06]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
15500,"[[     185.04         223]
 [     192.69      220.94]
 [      172.4      221.14]
 [     205.42      240.32]
 [     156.08      243.74]
 [     207.65      268.17]
 [      159.2      263.14]
 [     220.31      271.15]
 [     176.27      259.09]
 [     247.26      273.16]
 [     233.59      259.44]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
16000,"[[     186.07      222.93]
 [     193.55      220.96]
 [     173.02       221.3]
 [     206.22      240.56]
 [     156.45      244.66]
 [     209.39      267.95]
 [      160.4      263.78]
 [     222.79      270.93]
 [     178.55       259.4]
 [     247.94      274.14]
 [      232.6      259.24]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
16500,"[[     185.29      222.78]
 [     192.53       220.7]
 [     172.29      220.89]
 [     204.38      239.82]
 [      155.2      243.67]
 [     207.84      268.56]
 [     157.17      263.92]
 [     222.83       270.5]
 [     169.86      256.64]
 [     247.63      272.55]
 [      216.5      252.24]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
17000,"[[     184.57       222.3]
 [     191.73      220.61]
 [     172.31      220.47]
 [          0           0]
 [     156.09      243.31]
 [     204.34      269.07]
 [     161.21      263.99]
 [     215.74       272.7]
 [     184.96      262.77]
 [     246.52      273.37]
 [     246.89      268.69]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
